scene;mesh_a;mesh_b;mesh_path_a;mesh_path_b;mean_a_to_b;mean_b_to_a;median_a_to_b;median_b_to_a;max_a_to_b;max_b_to_a;pred_to_gt_mean;gt_to_pred_mean;gt_to_pred_median;gt_to_pred_max;chamfer;hausdorff;precision;recall;fscore;threshold;sample_points;sampling_method;semantics;aligned_with_icp;icp_fitness;icp_inlier_rmse;icp_threshold;icp_sample_points;aligned_mesh_path;;
OutsideConsistencyLossCheap_iter15000;OutsideConsistencyLossCheap_iter15000;blender_gt;output\OutsideConsistencyLossCheap\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.873407238334374;;0.7400875602883747;;25.960.501.244.753.900;;0.873407238334374;0.7400875602883747;25.960.501.244.753.900;;;;0.00047;;0.01;100000;uniform;gt_only;TRUE;0.00742;0.0291269706287328;0.05;100000;mesh_compare_out\aligned_reference\OutsideConsistencyLossCheap_iter15000__aligned_to__blender_gt.ply;;
OutsideConsistencyLossMoreCostly_iter15000;OutsideConsistencyLossMoreCostly_iter15000;blender_gt;output\OutsideConsistencyLossMoreCostly\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.9897811361706893;;0.7979693165610987;;2.923.907.363.016.770;;0.9897811361706893;0.7979693165610987;2.923.907.363.016.770;;;;0.00066;;0.01;100000;uniform;gt_only;TRUE;0.00739;0.02954921961445803;0.05;100000;mesh_compare_out\aligned_reference\OutsideConsistencyLossMoreCostly_iter15000__aligned_to__blender_gt.ply;;
OutsideConsistencyLossV2_iter15000;OutsideConsistencyLossV2_iter15000;blender_gt;output\OutsideConsistencyLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;10.081.872.881.197.100;;0.8313220410347932;;3.029.470.624.429.580;;10.081.872.881.197.100;0.8313220410347932;3.029.470.624.429.580;;;;0.00034;;0.01;100000;uniform;gt_only;TRUE;0.00499;0.030487591571488754;0.05;100000;mesh_compare_out\aligned_reference\OutsideConsistencyLossV2_iter15000__aligned_to__blender_gt.ply;;
OutsideSurfaceRegualrization_iter15000;OutsideSurfaceRegualrization_iter15000;blender_gt;output\OutsideSurfaceRegualrization\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.9947081028435444;;0.6944842141797272;;31.540.182.166.637.900;;0.9947081028435444;0.6944842141797272;31.540.182.166.637.900;;;;0.0008;;0.01;100000;uniform;gt_only;TRUE;0.00912;0.029523564621277188;0.05;100000;mesh_compare_out\aligned_reference\OutsideSurfaceRegualrization_iter15000__aligned_to__blender_gt.ply;;
VaseClean_FixedAllGradients_AllOn_iter15000;VaseClean_FixedAllGradients_AllOn_iter15000;blender_gt;output\VaseClean_FixedAllGradients_AllOn\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;10.287.058.570.913.500;;0.6214456729621993;;3.986.324.450.788.510;;10.287.058.570.913.500;0.6214456729621993;3.986.324.450.788.510;;;;0.00219;;0.01;100000;uniform;gt_only;TRUE;0.0326;0.02992156371919383;0.05;100000;mesh_compare_out\aligned_reference\VaseClean_FixedAllGradients_AllOn_iter15000__aligned_to__blender_gt.ply;;
VaseClean_MoveTestTBehind_iter15000;VaseClean_MoveTestTBehind_iter15000;blender_gt;output\VaseClean_MoveTestTBehind\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;1.054.193.885.371.580;;0.614814318368686;;4.112.881.340.189.230;;1.054.193.885.371.580;0.614814318368686;4.112.881.340.189.230;;;;0.00213;;0.01;100000;uniform;gt_only;TRUE;0.02927;0.02998274442112396;0.05;100000;mesh_compare_out\aligned_reference\VaseClean_MoveTestTBehind_iter15000__aligned_to__blender_gt.ply;;
VaseClean_NowAllOff_iter15000;VaseClean_NowAllOff_iter15000;blender_gt;output\VaseClean_NowAllOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;10.093.468.202.323.300;;0.5729544925227261;;39.835.424.270.729.900;;10.093.468.202.323.300;0.5729544925227261;39.835.424.270.729.900;;;;0.0022;;0.01;100000;uniform;gt_only;TRUE;0.03381;0.029588606412616205;0.05;100000;mesh_compare_out\aligned_reference\VaseClean_NowAllOff_iter15000__aligned_to__blender_gt.ply;;
VaseClean_SplitDiffuseToPartsWithFixes_iter15000;VaseClean_SplitDiffuseToPartsWithFixes_iter15000;blender_gt;output\VaseClean_SplitDiffuseToPartsWithFixes\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;10.204.064.536.596.000;;0.6436968773260685;;37.935.932.853.228.900;;10.204.064.536.596.000;0.6436968773260685;37.935.932.853.228.900;;;;0.00225;;0.01;100000;uniform;gt_only;TRUE;0.02857;0.03046084634159496;0.05;100000;mesh_compare_out\aligned_reference\VaseClean_SplitDiffuseToPartsWithFixes_iter15000__aligned_to__blender_gt.ply;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NewBlend_BRDFFull_iter15000;NewBlend_BRDFFull_iter15000;blender_gt;output\NewBlend_BRDFFull\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10256626521769041;;0.07305217688002472;;0.822027789996527;;0.10256626521769041;0.07305217688002472;0.822027789996527;;;;0.00273;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_BRDFFull-Evenfiner_iter15000;NewBlend_BRDFFull-Evenfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Evenfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10516784245521889;;0.07377205602771354;;0.8041961203397624;;0.10516784245521889;0.07377205602771354;0.8041961203397624;;;;0.00238;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_BRDFFull-Highdetail_iter15000;NewBlend_BRDFFull-Highdetail_iter15000;blender_gt;output\NewBlend_BRDFFull-Highdetail\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10297421050561587;;0.07318346760884112;;0.8204027444527283;;0.10297421050561587;0.07318346760884112;0.8204027444527283;;;;0.00353;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_BRDFFull-Saferfiner_iter15000;NewBlend_BRDFFull-Saferfiner_iter15000;blender_gt;output\NewBlend_BRDFFull-Saferfiner\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10651899392832587;;0.07578092447638088;;0.810088239719404;;0.10651899392832587;0.07578092447638088;0.810088239719404;;;;0.00253;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_BRDFReadyRoughness0_iter15000;NewBlend_BRDFReadyRoughness0_iter15000;blender_gt;output\NewBlend_BRDFReadyRoughness0\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10825964356014613;;0.07577444134393077;;0.8273093385042845;;0.10825964356014613;0.07577444134393077;0.8273093385042845;;;;0.00284;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_FalloffAndSpotOff_iter15000;NewBlend_FalloffAndSpotOff_iter15000;blender_gt;output\NewBlend_FalloffAndSpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10919830338313165;;0.07276326100273706;;0.811752243004064;;0.10919830338313165;0.07276326100273706;0.811752243004064;;;;0.00258;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_FalloffOff_iter15000;NewBlend_FalloffOff_iter15000;blender_gt;output\NewBlend_FalloffOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.103782828670724;;0.07312654078200528;;0.834155141220335;;0.103782828670724;0.07312654078200528;0.834155141220335;;;;0.00349;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_FullBRDFOnlyCenterCam_iter15000;NewBlend_FullBRDFOnlyCenterCam_iter15000;blender_gt;output\NewBlend_FullBRDFOnlyCenterCam\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10610391107017682;;0.07209235265074976;;0.8445406672069683;;0.10610391107017682;0.07209235265074976;0.8445406672069683;;;;0.00311;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_ImproveLoss_iter15000;NewBlend_ImproveLoss_iter15000;blender_gt;output\NewBlend_ImproveLoss\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10017200140184095;;0.07151673869962397;;0.8561879085362988;;0.10017200140184095;0.07151673869962397;0.8561879085362988;;;;0.0037;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_ImproveLossLastV3Finished_iter15000;NewBlend_ImproveLossLastV3Finished_iter15000;blender_gt;output\NewBlend_ImproveLossLastV3Finished\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10831328516571226;;0.08084742661488634;;0.6797377213117684;;0.10831328516571226;0.08084742661488634;0.6797377213117684;;;;0.00303;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_ImproveLossV2_iter15000;NewBlend_ImproveLossV2_iter15000;blender_gt;output\NewBlend_ImproveLossV2\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.11316206272776232;;0.07878503767148437;;0.8749353081278944;;0.11316206272776232;0.07878503767148437;0.8749353081278944;;;;0.00285;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_IntroduceGGXFresnel_iter15000;NewBlend_IntroduceGGXFresnel_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnel\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10238629287620629;;0.07415196228260079;;0.7842603591880788;;0.10238629287620629;0.07415196228260079;0.7842603591880788;;;;0.00278;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;NewBlend_IntroduceGGXFresnelBackwardComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelBackwardComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.11111006927077441;;0.07523762988039526;;0.8746945503630066;;0.11111006927077441;0.07523762988039526;0.8746945503630066;;;;0.00327;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_IntroduceGGXFresnelCompletely_iter15000;NewBlend_IntroduceGGXFresnelCompletely_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelCompletely\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.1147110087489525;;0.0755135163187462;;0.8518583548857719;;0.1147110087489525;0.0755135163187462;0.8518583548857719;;;;0.00478;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;NewBlend_IntroduceGGXFresnelSeparationComplete_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelSeparationComplete\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.1055160641790494;;0.06997997657773528;;0.8223289276322615;;0.1055160641790494;0.06997997657773528;0.8223289276322615;;;;0.00356;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;NewBlend_IntroduceGGXFresnelTrueRGBSpec_iter15000;blender_gt;output\NewBlend_IntroduceGGXFresnelTrueRGBSpec\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.1074472034468359;;0.07471787669374308;;0.8846872682113742;;0.1074472034468359;0.07471787669374308;0.8846872682113742;;;;0.00326;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlend_SpotOff_iter15000;NewBlend_SpotOff_iter15000;blender_gt;output\NewBlend_SpotOff\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.10834011180549297;;0.07383038056935737;;0.887469124625793;;0.10834011180549297;0.07383038056935737;0.887469124625793;;;;0.00351;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
;NewBlendTest_Standard2DGS_iter15000;NewBlendTest_Standard2DGS_iter15000;blender_gt;output\NewBlendTest_Standard2DGS\train\ours_15000\fuse_post.ply;C:\Users\cwart\OneDrive\Desktop\2DGS\BlenderGTMesh_aligned.ply;;0.12202600681178856;;0.07429648700612466;;0.7958041860836379;;0.12202600681178856;0.07429648700612466;0.7958041860836379;;;;0.00228;;0.01;100000;uniform;gt_only;FALSE;;;;;;FALSE
